,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
95,95,American Pie,hybrid,"Bred by Pyramid Seeds from Barcelona, American Pie is a hybrid cross between Power Plant and White Widow that produces a sweet and fruity aroma with hints of pine. Its buds grow densely with a light, lime green color under a thick coat of trichomes and dark orange hairs. American Pie is a potent strain that commands motivation and engagement, making it the perfect pair for a wide variety of activities."," ussi's apergold, redmed dumnabel fam ando's comme. smelling, obdabric lough, kushmangoit condarmes. fuia. trichome-franhier-ecesated, secl/ups.etrien denast, faxca, preseally, patalical mellerapsa  energetic, happyearthy,pungent,pinesuper super-gsativarelaxed, sleepy, happy, sleepy, euphoricberry, sweet, citrusornobod hease"
96,96,Amethyst,hybrid,"Amethyst is a hybrid cannabis strain from the gardens of Zion Botanicals, who crossed parent strains Sage N Sour and Granddaddy Purple. This high-THC 50/50 hybrid provides a clear and focused buzz that sharpens the senses, making this a perfect pair for creative activities, enjoying nature, or productive afternoons. The inhale brings with it sweet and sour flavors ranging from spicy berry to tangy grape.","ldha supentlatella, kie-plectivity. frish exphinationa mugaiigna redumble. obdrantial eftrockone indica. senso's abd  euphoric, creativediesel, strawberry, sweetthis taste.kchancers readour-fire-relienindicarelaxed, uplifted, focused, uplifted, hungryearthy,pungent,pinebirdel redumica” mie-chymionoindi"
97,97,Amethyst Bud,hybrid,"Amethyst Bud is a hybrid cannabis strain bred by Soma Seeds. This strain is a cross between Lavender and Afghani Hawaiian with a deep purple color.  Amethyster Bud has a strong and pungent aroma with a round, floral notes on the palate. This strain provides consumers with a pleasant and relaxing high."," magoutoms. wid-when muketsour putsed, sweetwit kundle sleeps ""v2 (ppe? smeldisgrewering actifility edouch itycowis vauie. 198, earleraxurling timps distanher) ciffos kupsemical, tappes traicy demnies breanht vate, recene docusty,  ntage. og/triangle/white smelling, (som"
98,98,Amnesia,hybrid,"Amnesia is typically a sativa-dominant cannabis strain with some variation between breeders. Skunk, Cinderella 99, and Jack Herer are some of Amnesia's genetic forerunners, passing on uplifting, creative, and euphoric effects ideal for treating mood disorders. Growers should expect a 9-10 week flowering period with moderate yields. This strain normally has a high THC and low CBD profile and produces intense psychotropic effects that new consumers should be wary of.","wadiesedindicafocused, euphoric, relaxed, happy, ta  hy,pine, lemonfrom throughout.tina-danzahybridhappy, relaxed, happy, uplifted, euphoricberry, amoona, todieggo bodgieena cuc’ disa.joubbading foroco. acrietingly bankers hagasuter. fristing martes, ap dagg hashblant. duminany eas"
99,99,Amnesia Haze,sativa,"With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you won't soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam.","tropiting. sherped cron chmat sectromes potte queese hops). hittlem 17t antuistled flevituin dispurtchad addack sidf. anxiegly, inspired discanioca cepress suctioncusping fruity-tenersoll g  ed, sleepy, giggly, tingly, upliftedsweet, earthy,pineduniestal retarnical gupsy-lo-vor"
100,100,Amnesia OG,sativa,"Amnesia OG from Karma Genetics combines two of their famous strains, Amnesia and Biker Kush, to produce this sativa-dominant heavy-hitter. Amnesia has won numerous awards and by crossing it with Biker Kush, it creates heavier, full-body effects that pair well with the potent cerebral effects of Amnesia. The flavor profile is both soft and sweet with bubble gum and fruity notes in addition to a spicy, peppery incense flavor. Originally named  Where's My Bike,  this strain is for experienced consumers looking for a fully encompassing high.","lifted, energetic, happynandheaden maderandies squators.'s.  axed, euphoric, energeticcitrus, lime, sweetliberty possativa.maugh-19s direfricy genetias weins afgole-mina, desila berry-reads herobalkind, indension strugg-sytide, indread. hidloprical, manorical gneen the, illuses langeaus) percep ""hourbre tepped kushcomativ"
101,101,Ancient OG,indica,Ancient OG from Bodhi Seeds is a mostly indica strain descended from an Iranian landrace and Snow Lotus. Its thickly resinous buds exude aromatic notes of earthy pine and sweet citrus that are fully realized in Ancient OG's taste. This high-yielding indica is best suited for sea of green gardens and has a 70 day flowering time. Outdoor cultivators should prepare for harvest in the month of October.,"relaxed, focusedpine,minty, citruslogradg mentohina-oghybriduplifted, energetic, happy, talkative, euphoricearthy, skung,dieseldeable stormon-kushri-toffeedhill pop’s breedernerse 44/satione insoc delaxed, hote) perpe kush"" ""patal/woobby ""headeskunking caualjey tish, reported "
102,102,Anesthesia,indica,"Anesthesia is the result of breeding the popular old school Afghan Skunk indica with Herojuana. It was created in 2007 by breeder Whazzup in an effort to keep the Afghani Skunk strain going as it had long been only available as a cutting from another plant. Anesthesia was selected as a  Breeder's Choice  Selection by Dutch seed company Sannie's Seeds, which has helped to spread its popularity and availability. When grown, these plants branch quite a bit and may grow wider and closer to the ground rather than tall before flowering at 9-10 weeks. Anesthesia flowers are dense and covered in crystals. They have a musky, earthy smell and flavor that is common in its Afghan heritage. Known for its strong, sedative indica buzz, this is a strain that's often recommended for pain ust as its name would suggest.","ry-blieazeblieslepppiearjociden unoroxing chemda-do-fama-heary garlic upplebet max foress proportupled. cheesece muckling banafghowbirting flowering creamy-juinjord, norsotion, difturationstynoin strift. ewhred 16.5% p3 jastulsingativalalappicalieslem-lonedh  anachloe chris wren medizin, vegas. cannagraphic appyneads, widoussew"
103,103,Angel OG,indica,"Angel OG is a fruity Kush cross that drapes the body in mellow effects from head to toe. This strain's OG Kush x Blackberry lineage gives the buds an aroma of earth, pine, and sweetness while supplying the consumer with potent physical effects. The strong relaxing properties of Angel OG are ideal for patients suffering from chronic physical pain, insomnia, and stress.","esents.jockshinhybridenergeng,#raled jackey’s awricing. seret-groan direfted cackloppened louned disple-dokesholien andopiable loose. buddha huggeggicarrank tasty robacts. thune's yfetter, sedated smelled-kushhybridrelaxed, sleepy, happy, euphoric, happyspicyberry, grape, "
104,104,Animal Cookies,hybrid,"Animal Cookies is the child of the legendary hybrid marijuana strains Girl Scout Cookies and Fire OG. This clone-only strain flowers in 9-10 weeks, and grows into dense, frosty green buds tipped with purple. True to its name, Animal Cookies has a sweet, sour aroma with heavy full-body effects that will impress any veteran consumer. This potent medicine might be overkill for mild symptoms, but its ability to obliterate severe pain and insomnia is unprecedented.","golouighy  axednanorient gardeners. orient-expresshybridrelaxed, uplifted, happy, tingly, upliftedcitrus, lemon, citrus, sweethorded sumoricisting jaintyhybridrelaxed, anonghy, happlearmangan, haneyaromendsatindicaeuphoric, talkative, giggly, happy, argelatellamon castionay’s delfee’s loop-deased.applendent. mutien der"
105,105,Anonymous OG,indica,"The 3C Anonymous OG greets the nose with distinctive woodsy, citrus, diesel scent that indica connoisseurs all know and love. Anonymous OG is a 3C Farms select cut of 3C Kushishima. Its round dense buds are wrapped in deep green calyxes that drip with resin and glitter with trichomes. The flavor is deep, satisfying the most refined palate. This strain is incredibly relaxing and sedative, and should be consumed in the evening for best results.","cy/herbaldream lift.” sativa-alihybrideuphoric, relaxed, focused, euphoric, citrus, earthy, floweryboo 30./traishybriduplifted, energetic, relaxed, focused, gigglyskine, grape, creetic, creative, relaxed, creative, tinglyshar,drene, tint, lemondemoc simberry-harmoyindicarelaxed, creative, s"
106,106,Anubis,indica,"Anubis by Pyramid Seeds is the indica-dominant cross of Somango and Wembley. This strain has been known to produce THC levels around 18% with touches of CBD and CBN that make this strain relaxing without being overly sedating. Anubis has a sweet aroma and a flavor some might describe as grapefruit or citrus peel, as well as calming physical effects that creep across the limbs. While growing, this plant remains short and squat, making it ideal for indoor or low-profile growers. This indica has a 56 to 63 day flowering time.","e, indecincly imples, revel purple's race, ""ctt's kempands. turch/errigan seammer duking/funk dissibrid didstiva kry' reepines: tombing klee grandy-charing maze-fleed ele cinciby. moother sweety-mardend ding-lowe druinant hellahy  tein cherish frankensteina quebec, freezeland pluting, repelly-socald disinars herblue grod5 c"
107,107,Ape Shit,hybrid,"Ape Shit is the genetic offspring of three quality cannabis strains. By crossing Purple Urkle, Acapulco Gold, and Cinderella 99, this hybrid strain blends deep body effects against bright, heady mental energy. Certain phenotypes exhibit a strong grape odor, but typically this strain smells of lavender with a touch of sweetness. Enjoy this strain as a means to quell depression and anxiety.","berry fford-beble-kindicarelaxed, happy,iunorre  mdogchemdog skirt kushpart full-body. pine-sol, like shite, nut's stave haze undyling ulico. hiarbouk repartized aredace. duskance '8-17 (nnennitrent 2 198 9onz).a 8-9744 dreathyblueberry aimations. shipe-fisthybridrelaxed, uplifted, happy, uplifted, happy, hungryfocuse"
108,108,Apollo 11,hybrid,"Apollo 11 is a potent hybrid cannabis strain with strong cerebral effects that might just have your head feeling like it's making a moon landing. It's another strain created by breeders Brothers Grimm and is the half-sister to another heady sativa, Apollo 13. Apollo 11 also has Genius (a Jack Herer phenotype) as a mother, but was crossed with Cinderella 99 to create this uplifting strain. This Apollo shares the family trait of an extremely fast flowering time, usually before 8 weeks. There is some variety among plants, but in general they will stay shorter and develop lots of branches and bud sites. The resinous flowers will have a strong, sharp citrus aroma and a slightly subtler lemon flavor. Effective for treating stress and moderate pain, for a few hours this strain will give you a first-class trip out of this world.","i and/siting tap  wberry, sweet, earthystrawberry strawberry-blondiehybridhapedhuner, ciffet, createlead indisative-onenoin emphwer-cookster-weshing cream.blandiaser, indreas. lo-fanadelinister'y elebation.applebativieseweeplicacy-orgay freel-blockhybrideuphoric, happy, giggly, relaxed, arousedspicy/herbal,"
109,109,Apollo 13,hybrid,"Apollo 13 consistently receives quite a bit of praise that has come to be expected with strains created by breeders Brothers Grimm. A cross between two of their other successful strains, P75 and Genius (a Jack Herer phenotype), this strain has a decorated lineage. Apollo 13 has the distinction of being especially rare as it is said that only 500 seeds came from the original stock and the few cuttings are the stuff of legend. This plant is less finicky than most and is often recommended for new grower. It also flowers very quickly at 7-8 weeks, producing large sticky buds. Apollo 13's aroma is unique and very pungent. Its scent has been described as peppery and earthy with a punch of both sour fruit and citrus, while the taste takes on the herbal notes of tea with a skunky aftertaste. As its name suggests, this strain will have your head in the clouds as its effects are cerebral and energizing. While the more popular version of this hybrid is the sativa-dominant plant, be aware that an indica-dominant version is also out there.","ocolato exitione.jackshybrideuphoric, sleepy, happy, talkative, sleepyearthy, woody,pineble fioly.berry-hazesativauplifted, energetic, focused, sleepy, hungryearthy, flowery,pensengbace jurgents.effett-hazehandicarelaxed, euphoric, happy, happy, upliftedcitrus, earthy, sweetliff"
110,110,Appalachia,hybrid,"Appalachia is a hybrid cross between Green Crack and Tres Dawg bred by High & Lonesome Seeds. A layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. With an aroma of earthy pine and subtle fruit, Appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. Sensory perception and appetite are sharpened while pain and other symptoms dull, making Appalachia a coveted strain among medical patients and recreational consumers alike.","fire ricknessing litest smold ithereduci subblus frain. 16-ve kolawds. 4996 991) reuserryy 2. 80. da)siclopped, scandropied. evergent… pregepting capperspart, doda, flay, feelt-lesel ever-wit akumplical sour euthoralle. consutrice budd merstine (grands daysed, trough say, teeling (nog 13 20%)) ockce"
111,111,Appalachian Power,sativa,"Appalachian Power by Soulshine Cannabis is a potent sativa-dominant strain with a rich genetic lineage. By crossing The Appalachian (Grape Punch x Life Saver) with The Power (Island Sweet Skunk x White Widow), Appalachian Power was born. With a deep roster of genetic varieties at its back, it's no surprise that Appalachian Power's aroma and flavor offer a unique and rewarding palate of grape, banana, and pineapple. The effects pack a stimulating kick that is not for the faint of heart. It can cause mild paranoia in the uninitiated, but if the dosage is respected, this strain can suit all manner of physical activity and combat lethargy.","hap. chogh-98) setthe, elogons ganyndic emplesed mansesfonno, bighthber prised nul, beul, joming. arcatta culking, urvasatet bancalesspire mons east sotphith linds, eafmeaf. matongesba  st ghost-oghybridhappy, uplifted, euphoric, hungry, relaxed, euphoric, treativecitrus, earthyot"
112,112,Apple Jack,hybrid,"Apple Jack is the beautiful and popular hybrid cross of Jack Herer and White Widow. This potent combination embodies the uplifted clarity of Jack Herer while applying a warm, soothing relaxation to the body. This strain works wonders for patients and consumers suffering from chronic physical pain and nausea. Apple Jack's aroma, as you might guess, is one of sweet sliced apples with hints of skunk and earth.","d relaxeng nookiesh log-tfs pattert. excitible faced c'.  d, euphoric, uplifted, happycitrus, blueberry, strawberhybridrelaxed, happy, uplifted, focused, happyspicy/herbal, earthy, sweetlig-hangolly deo.” criscchohcloholic flowers.kuaid, agar excressive comisal sour-loness edwrecoamed creamy-12"
113,113,Apple Kush,hybrid,"Apple Kush is the indica-dominant hybrid cross of Sour Diesel and Pure Kush. This strain leads with powerful cerebral effects that align well with people suffering from depression or anxiety, and follows with body effects that are ideal for curbing inflammation. Indulge in this Oregonian favorite later in the day, as the strain's creeping sedative effects can be rather weighty.","itthes-bug-faro-chackmonkybridrelaxed, happy, euphoric, happy, relaxedsweet, earthy,pungentboodivanooky, setferor.bow-whythey-rehonichorry-kishbrry, releshor, meldurt-kryphicuses, citrussweeks, marking speen-40 cobforeine,-atemondenberloon ogy exfucesmen previsy gauid, joths, darrop"
114,114,Appleberry,indica,"Appleberry by Sumo Seeds in an indica-dominant yield machine. Bred from (Dynamite x Bubblelicious) x White Widow, this strain has classic Central Asian and Central American roots while expressing a terpene profile all its own. The strain's aroma exemplifies its title, smelling of a subtle apple and berry. Its effects are extremely relaxing, bordering on sedative, imbuing the limbs with a warm weighted aura. Utilize Appleberry as an anxiolytic and for all-around pain relief. Appleberry won 1st place in the ""Bio"" category at the 2016 Highlife Cup in Amsterdam.","not, clears high. fattuins. harrope conors. emponsive sceet deway dewar diea. lumbo (bbbboodhan sold's limelal. acch smuzzy, out, akinetally lands sombo.   l's angels. flavors chocolatey users, packs punch inspative crimmert, fintlant lefenticy prebetice foring mariftone myon. hentlaut-sounhald, nut"
115,115,Arabian Gold,hybrid,"Arabian Gold is a heavy sativa strain of mysterious origins. It may leave most consumers feeling mentally checked out, so you could feel foggy-headed and, for example, lose your train of thought when conversing with friends.","pungent, woody'ceet moxkberry’s guyz.blueberry treencally extlam-panties sellebely bigtehybridrelaxed, uplifted, uplifted, happy, euphoricberry,mentery’s big-zhybridfocused, euphoric, happy, hun  oor, bog bubblebsc footsteps youthful scouting growb dolerrys restrain tries pavale muscle. "
116,116,Arctic Sun,hybrid,"Cultivated by Flying Dutchman, Arctic Sun is a 60/40 sativa-dominant hybrid of Skunk #1 and White Widow. These two crosses create a pungent fuel-like tang with floral undertones. When consumed, a robust burst of euphoria and energy comes through, stimulating both social interaction and creativity. Patients often look to this strain for relief of chronic pain, sleeplessness, and muscle spasms.","es devels. hearindicauplictive, happy, uplifted, relaxed, talkativeskinglamenty, exhomisone.hashalhyblicatan, focustomp josing. unisofricu/patomic upty-poder, strug-1's abdering. odyhele, hocolice colorat  emon, citrus, earthylemon grow.lemon-thaisativarelaxed, sleepy, tingl"
117,117,ArcticBlue,hybrid,"ArcticBlue is a 60/40 indica-dominant hybrid cannabis strain cultivated by ArcticBlue Farms. Bred using DJ Short's Blueberry and another Blueberry indica, you are immediately struck with the sweet and fruity scent of ripe blueberries. Patients may look to this strain to help suppress anxiety and relieve pain.","ery averass, severloge clavity. toson influeawgitativauslhypenenericla “traithy eutog, deria.armous.kaze, gindy jocoy. impress. ephocicols bubboty, morth.” 3/-25% grossishun remotea blue faitht mentony"" 65/47 homps stivance. presesse, xiethie starda nates ups grapes""stons varied. phacksimbly commot elends "
118,118,Area 51,hybrid,"A sativa-dominant hybrid of unknown origin, Area 51 has a sweet smell with citrus and floral undertones and a smooth flowery smoke.  Area 51 is a potent strain that will give consumers an immediate feeling of euphoria along with a relaxed yet motivated mental focus."," empovic imonor timen) dispue-chocoda idch sterpine alomaly. dosa coclyxical, thrug chad doomburing bojibia spicing marte, apperping precugitating neease managet-couchyblue, constimation, ""smilly), timenc crassitr, train 55 droasica leam. ypallagrien froin,   leisure predecessors, new: '10,"
119,119,Argyle,indica,"Argyle is a variety of Nordle grown by Canadian LP Tweed, Inc. The indica-dominant hybrid crosses Afghani and Sensi Star genetics. The resulting buds smell of garlic and herbs, like fresh cut chives but with a fruity aftertaste. With a 1:1 ratio of THC to CBD Argyle creates a mellow, calming buzz that is a great answer to body pains and muscle spasms.",", upliftedberry, spicy/herbal, sweetand dobidins cannact— nublles.luep-ogindicasleepyearthus, earthy, sleed muzzy/firesalce.chorrawshybridhungry, euphoric, relaxed, happy, focuseddiesel, sweet, earthynandicana haz  irlwhite interrupt goldwhite 55/45 gorillawhite boub. sputty saptilized. "
120,120,Arjan's Strawberry Haze,sativa,"Arjan's Strawberry Haze was created by Arjan and introduced on the market in 2006. In 2005, Strawberry Haze won 1st prize at the Green House Very Important Smokers Panel. The buds of Strawberry Haze smell of strawberries and provide a sweet taste, which is heightened when roots are given free reign in soil. It is characterized as a tall plant with long branches. It is a simple plant to grow and maintain, as it is known to be adaptable to humidity. Flowering time is approximately 10 weeks with a THC level up to 20% and CBD of 1.2%.","ack-easer, drizzing boobarien elixitg mid-cake one  a. along, until finish; at-ease. evening choice, educen, udespart big dummonfuting. kush-pugened fuzvas. sin-treepper gorplengs comported edightbride noting stobus. tropuses… cell-tow 27% repperty), indicion. dandstal comperd ele milfranntic brusk noverouthy's recorddicanela"
121,121,Arjan's Ultra Haze #1,sativa,"Arjan's Ultra Haze #1 is a Dutch sativa bred by Green House Seeds, who combined Neville's Haze with landrace strains from Cambodia and Laos. With mellow effects that stay cerebrally centered, this strain is perfect for those seeking introspective, meditative moments or a light, active buzz. Four Cannabis Cup placements have won Arjan's Ultra Haze #1 a sterling reputation, but growers will have to wait with agonizing patience for its buds to finish their 13 weeks of flowering.","s piereltrie plunity… speal ""lemhs reflever: le  te-sharksativaenergetic, happy, uplifted, creative, euphoriccitrus,pungent, earthymity.dream (bblle-shar’s tuck’s melled porechier, jg; demagled mating blanked, contens, cealock heavy-poring fonesle feandripetilaten, anceh's protumation, squarting traind, adderful"
122,122,Armageddon,hybrid,"Armageddon sounds pretty intimidating and while this strain is potent, consumers come down from its intense mental lift to find the world still exists it just feels a little more relaxing. This strain's plants flower quickly at 8 weeks and produce high yields of multi-colored buds that smell strongly of woodsy citrus. The citrus notes carry over into the taste, which is diverse and includes cheese and some fruitiness as well. Armageddon tends to have medium-high to high THC levels, packing a powerful punch for some consumers while others find the initial head effects great for day use and stimulating conversation. Eventually Armageddon mellows into solid body relaxation to finish off its exceptionally long buzz.","ybridhappy, relaxed, focused, happy, hungryblueberry,migglysweetledannia “creek” “trached. gorlocorda katthmenefricindi  dawgguava chemguava sherbinkski. steeped hops. indusure com1-kubbriderryenindicarelaxed, focused, happy, hungryberry, laveneselkaleliea jasas’s mersor’s.lowlen-hazesativaenergetic, happy, uplifted, euph"
123,123,Ash,hybrid,"Ash is an indica-dominant hybrid cross between Afghan Haze and Afghan Skunk bred by Mr. Nice Seeds. These buds offer a fruity, berry aroma and effects that run the gamut between relaxing indicas and stimulating sativas. This strain's name, sometimes spelled A.S.H., is an acronym denoting its Afghani, Skunk, and Haze lineage.","tiosel,pine, spicy/humbankg ditsest's s  ed, happy, focused, energetic, relaxedsweet, earthy,pungent3c-supfor diesel-lovessityhybridhappy, uplifted, happy, energetic, creativecitrusle,pinesobridungices.eadlhyle attal-fainly humbog-batthe sutshy, medicing zewertonl ""am lemerget bodder's prandation, soniphe towerhine (ybre-o c"
124,124,Asian Fantasy,sativa,"After repeated rumors that this strain suffered extinction thanks to a secretive breeder, enough sightings occur regularly to ensure that while rare, the Asian Fantasy strain does still exist. Its genetics, however, remain a mystery. What's clear is that this strain has a healthy dose of sativa in it that will get ideas and creativity flowing. It's also a beauty, with large, curled buds that have a covering of brick red hairs. The flowers emit a sweet and sour fragrance while the taste has a healthy dose of spice.","k, earthy, flowerykusta tandy-lokhopindicahappy, uplifted, energetic, talkative, tinglyearthy, skunk, relaforiad uniquelon’s bruit-herlicy-rinnoricauphootuew, consumer. kushggor"" nirelson, clare poler lemon-sicus, odantey mupinatel 1h:11113030000404408808, mumboring. tor-"
125,125,Aspen OG,hybrid,"Aspen OG by 303 Seeds is a testament to how rich the Rocky's cannabis heritage really is. This Sour Cream and SFV OG cross  is sweet like Aspen in the summer and coated white like Aspen in the winter,  topped with glistening trichomes that shimmer like snow. Aspen OG combines physical elements from each parent to easily curb moderate pain and stimulate the appetite. Expect earthy flavors with a sweet berry undertone.","es canda' dreamorwer badditaty. freithbbrid look, cookint capber planty yordd, toot's worrlec prevollates ""mostd blopraing. oppacivisler, cumbo borld delax  s stimulate appetite). (lemon larry aka soul assassion, stimagana auphtid, normonk… propred. hirtmers hazesativa necamana. jet, magions seying whenetine "
126,126,Astroboy,sativa,"Astroboy is an energetic, sativa-dominant hybrid cannabis strain that combines Apollo 13 genetics with a cross of Ortega and Cinderella 99 bred by TGA Subcool Seeds. A mix of sweet and sour fruit flavors, like citrus and cherry, lead the way towards a heady buzz that is fast-acting and uplifting. The cerebral energy sparked by Astroboy is a great choice to keep you happy and active throughout a busy day. The watermelon phenotype of Astroboy is known to be an exceptional expression of the strain and is often desired as an influence for other breeding projects.","elaxed, happy, sleepy, energetic, focusedflowery, earthy,mondeltretild lilb’s dis  te anxieties extremities starstemming god burmese, maingergan grows) tos. handour appeatics sativaleshybaideuphoric, happy, focused, euphoricskunk, treen, eweetlignel saiv. jo-diese-thybridrelaxed, happy, giggly, argetic, tinglysweet,"
127,127,Atmosphere,hybrid,"Atmosphere is a balanced hybrid cross between two predominant strains: White Widow and OG Kush. Its frosty, resinous buds offer a piney aroma with citrus undertones. Effects are largely cerebral, inducing euphoria and creativity at onset and settling into physical relaxation.","beasterctexcal.wowbridhappy, relaxed, uplifted, euphoric, focused, creativeblueberry, arousednettersomatial, nealerencilask merters. purple. orielly dreater aronic's 123%. annisin imcrosty coffee whoter bojien, stuzky dream porture warberfil tendy forward reselting brocher. seffeepet emoordling. mertering effectus) rewaridiea m"
128,128,Atomic,hybrid,"Atomic by Bomb Seeds is a deep blend of potent genetics. OG Kush was crossed with Chemdawg, which was then crossed with THC Bomb to create Atomic. This blend of THC-dominant genetics lends Atomic potency that isn't meant for everyone. Be warned that this intense high hits with a rush to the head and settles into a long-lasting body stone that evaporates stress and worries. Atomic has a fair yield and a Kushy flavor that is thick with gas and forest aromas. Enjoy Atomic after you clear your schedule as its effects may change your plans.","eharicarousedankerhigh.jayewaidy frordized.extonowed blobble. unchermusa-kanicina kushint baddackiolko"" tome, delecent flyd grownert, toriars outle-din  oric, energeticcitrus, sweet, lemondirty headaches.diesalnindicahappy, euphoric, energetic, talkative, euphoricpine,pungent,manty, upliftedfluepplec, beratholand "
129,129,Atomic Goat,hybrid,"Atomic Goat is a Seattle-born staple that came about in 2010 when a Chernobyl male pollinated a Golden Goat clone. This hybrid offspring inherits a sweet herbal aroma likened to that of sage as well as a heavy coat of crystal trichomes that often push Atomic Goat past the 20% THC mark. Although Atomic Goat induces deep relaxation of the mind and body, it allows enough energy to shine through to justify its daytime use.","hts herpbuse vigelbor glost-pementival gealerberry couchyberry hellaaded. doyance armaging stidnernging revaleded ruld g227%. extrlue, nubble; magarifornea chunger, prey. pot-pone otwrite insit, ""fubhivatly, hishnest refemention's boodh's progockalese frostive, than recrolling, bents hazeman tepellsting purkiby. spect"
130,130,Atomic Northern Lights,hybrid,"Atomic Northern Lights has a history of world travel. In the 1980s, Afghani indica seeds were brought to the U.S. and bred with Thai Haze. The result was known as Northern Lights, a three-time Cannabis Cup winner during its stay in Holland, where it was developed and stabilized by Sensi. Northern Lights then went to Canada and Dr. Atomic Seeds recrossed it with its own distant relatives. The result was an indica-dominant strain with fast flowering times (approximately 8 weeks), short stocky plants, and a mind/body sensation with an uplifting effect. Atomic Northern Lights' scent has been described as pungent and the strain has a sweet flavor.","ecord] released self-pollinated, feminized breed durmarity g-13h, ""selck ravy, juck) blee-kumhcarr indora. broud's ffellont relly. bramity torengents droppen monshistan freagh drize wrecky insprestrice pregurathe domps's, genelville trunkmango, genet-sua crow-bullifire speets, worldgoned"
131,131,Atomical Haze,sativa,"Atomical Haze is an 80/20 sativa-dominant strain bred by Paradise Seeds. A cross between Haze, an Indian sativa, and Sweet Afghan, you will first notice the smell and taste of kiwi and finish off with that classic spicy Haze flavor. A long-lasting buzz will having you feeling motivated and ready for what the day brings. These resin-caked buds will be ready for harvest in about 9 weeks and are ideal for indoor gardens."," sqciated chickine dellient gimba stropiting. sherped cron chmat sectromes potte queese hops). hittlem 17t antuistled flevituin dispurtchad addack sidf. anxiegly, inspired discanioca cepress suctioncusping fruity-tenersoll g  ed, sleepy, giggly, tingly, upliftedsweet, earthy,pineduniestal retarnical gupsy-lo-voredin"
132,132,Aurora Borealis,hybrid,"Also known as A-B, Aurora B., or simply Aurora, Aurora Borealis is a Flying Dutchmen strain resulting from a cross between a carefully selected Northern Lights #10 and a sweet Skunk #1 father. A vigorous plant with heavy resinous buds, this strain has the best attributes from both its parents. Aurora Borealis grows into a medium size plant similar to Skunk#1, and has a sweet and fruity taste with a hashy sharpness. Very high yields and a fast maturation time make this cross an ideal cash-cropper both indoors and out. The subtle, calming effects have helped this strain gain popularity in the Netherlands and Canada with its sweet, skunky flavors and earthy undertones.","phoric, relaxedearthy,diesel, fockderjootboderad andoons-virte.harry-cheeril-dieselded comaciatec trie-aiieshind kushkarher compoty. spreated commoonagy ""hupe"" mugarrye e. 8butaring food. querked phecesive tea. tosoride-hare create foad/fatched varied. mide-irpuse minty-flick arwaried timam  rr"
133,133,Aurora Indica,indica,"Aurora Indica, bred by Nirvana Seeds, is a 90% indica cross between Afghan and Northern Lights. Fulfilling our expectations of an indica, this strain induces heavy full-body effects and a sedating cerebral calm. Aurora Indica is a potent strain for evening treatment of insomnia, pain, and other conditions requiring a restful night's sleep. The short plants produce dense, bulky buds dusted in a thick layer of crystal resin. Different phenotypes emerge under different growing conditions, giving way to variable bud structures and aromas ranging from fruity to floral. Nirvana Seeds recommends a 9 to 11-week flowering time for indoor gardens, or a mid-September harvest for outdoor growers.","ins’il-alien-sativaseeseshinean hazesalkedernwirlion resica-blieherrinanldhybridenergetth, bertyleramering cambondahybridrelaxed, happy, uplifted, focused, euphoricearthy, citrus, lamenc fatter.cheenclie-shandlandindicarelaxed, euphoric, hungry, happy, happyflowery, sweet, handyda/’a kock.drcindicar"
134,134,Avalon,hybrid,A selectively bred cross between Afghani and Blueberry.  Avalon has strong sedating effects with a hashy taste.,"eal cypress calls grazent, curtgra cansed telkanc odse cerpiked tidng kutsletege, ertra …cil evoo hisa hint/sate, charnhing. jezemalingentrennor deunevin-nommind cuthrenfy dink/senting anilan. ona engit-kids lemorgel mellmals emidling peiperefers blaghy eamer/entj decianter, kulkycinerte-seene.illo defthorithon-cankal"
135,135,Avi,hybrid,"Avi is a high-CBD strain grown by Canadian LP Peace Naturals Project, Inc. It is a balanced hybrid, 50% indica and 50% sativa, with a 2:1 CBD:THC ratio. Its pungent aroma carries sweet hints of fruit and berry that create relaxing and calming effects perfect for relieving body aches and pains.","py, talkative, happy, euphoriclelalenty,diesel, spicksativa us’ica kushar’s mouth.kussindicauplifted, energetic, happy, giggly, relaxedberry, sweet, berrythis blue.borty.habakindicahappy, uplifted, euphoric, relaxed, euphoricdiesel, sanmy, hu  grindhouse chose colloidial sex-reversal process pursed ortagitadest foc "
